tu_id	speaker	start	end	duration	text
0	BO139	0.400	4.030	3.630	 eccoci qua. sarà difficilissimo raga perché tipo in quattro poi comunque
1	BO147	0.410	0.640	0.230	 {ride}
2	BO139	4.450	5.350	0.900	 ci si parla sopra
3	BO147	5.360	6.170	0.810	 {ride}
4	BO145	5.700	6.640	0.940	 dopo lo devi far te?
5	BO139	7.100	7.300	0.200	 sì
6	BO146	7.790	9.330	1.540	 già xxxx (mi sono) emozio[nato]
7	BO145	9.010	11.240	2.230	 [ma già] qua~ >cioè< quattro [poi (sono) tanti]
8	BO147	10.310	12.700	2.390	 [ma ti devi a~ anch]e autox~ autotrascrivere?
9	BO139	13.010	13.170	0.160	 sì
10	BO146	13.195	13.345	0.150	 x
11	BO139	13.355	13.525	0.170	 sì
12	BO139	13.925	17.055	3.130	 mi sto inculando in questo mo[mento non è che sto f]acendo il tirocinio
13	BO147	14.995	15.935	0.940	 [(ah bene)]
14	BO139	17.175	17.815	0.640	 {ride}
15	BO146	17.550	18.510	0.960	 se poi arriva pure francesco ciao
16	BO146	18.520	19.230	0.710	 {ride}
17	BO147	18.520	19.230	0.710	 {ride}
18	BO139	18.520	19.480	0.960	 {ride}
19	BO145	18.520	19.230	0.710	 {ride}
20	BO145	19.900	20.830	0.930	 alé lì è la fine
21	BO147	20.840	24.330	3.490	 xx {ride}
22	BO139	25.325	27.600	2.275	 non saprei come scrivere mbare però {ride}
23	BO145	28.017	28.377	0.360	 {ride}
24	BO139	28.267	29.320	1.053	 apostrofo {ride}
25	BO145	29.322	30.458	1.136	 sì. apostrofo mbare
26	BO147	30.557	30.977	0.420	 mh
27	BO147	33.412	34.530	1.118	 c' è sempre la prima volta
28	BO139	34.537	35.327	0.790	 mh {ride}
29	BO146	35.557	36.387	0.830	 xxxx
30	BO139	37.727	38.917	1.190	 {ride}
31	BO147	40.227	42.057	1.830	 quindi col xx (cosa dobbiamo cosa fare)?
32	BO146	42.407	44.427	2.020	 no p~=eh a a prendere un caffè
33	BO146	44.492	46.392	1.900	 ([poi se vuoi fare] aperitivo fai quello)
34	BO145	44.617	45.087	0.470	 [x]
35	BO146	46.877	47.547	0.670	 da pallotti
36	BO145	48.497	48.977	0.480	 quando
37	BO146	48.992	49.872	0.880	 {ride}
38	BO147	49.327	52.997	3.670	 (xx ma io da pallotti ci piglio le paste >cioè:< ci prend[o:=mh le brio~])
39	BO146	51.927	52.887	0.960	 [le lasagne]
40	BO147	53.337	53.620	0.283	 [(ah)]
41	BO146	53.503	55.213	1.710	 ([n]on) xxx le brioche [xxxx]
42	BO145	54.503	55.523	1.020	 [cristobello]tti
43	BO146	55.593	57.563	1.970	 x [{P} m]:h ce n' ha poche
44	BO147	55.658	56.358	0.700	 [come no]
45	BO147	57.883	59.063	1.180	 che palle
46	BO146	60.928	64.268	3.340	 beh pi[gli un dolci]no se non glielo chiedi se c' ha le brioche oppure se te le fa
47	BO145	61.433	61.963	0.530	 [m:h]
48	BO146	65.022	65.453	0.431	 °xxxxx°
49	BO147	65.473	65.993	0.520	 (a) parte [che]
50	BO145	65.698	66.488	0.790	 [no perché] scivola
51	BO147	67.238	69.098	1.860	 (a) parte che pallotti fa anche il coso
52	BO147	69.343	69.983	0.640	 l' aperitivo no?
53	BO146	71.058	72.988	1.930	 °sì non so come lo fa. cioè°
54	BO145	73.328	74.108	0.780	 mi sa che costa
55	BO147	74.223	75.063	0.840	 vabbè però è anche
56	BO147	75.408	76.810	1.402	 è anche ristorante
57	BO146	78.918	81.000	2.082	 quella volta che ci siamo andati noi non c' era un granché mi pare
58	BO145	81.004	81.304	0.300	 mh
59	BO146	81.319	81.989	0.670	 (non c' era niente)
60	BO145	82.600	83.390	0.790	 la rapa c' era
61	BO146	84.404	85.704	1.300	 sì ma roba (da banco)
62	BO145	85.879	86.479	0.600	 mh mh
63	BO147	87.524	88.314	0.790	 {ride}
64	BO145	91.404	92.214	0.810	 non parli?
65	BO145	92.724	93.444	0.720	 {ride}
66	BO139	93.469	95.379	1.910	 così non mi trascrivo no c' ho la bocca piena
67	BO139	97.269	98.329	1.060	 l' altra volta
68	BO139	99.104	102.024	2.920	 controllavo di averlo avviato effetivamente perché ero da un notaio
69	BO139	103.479	105.550	2.071	 e doveva esserci anche mio babbo ma non poteva venire
70	BO139	105.550	106.939	1.389	 quindi volevo registrare l' incontro
71	BO147	107.119	107.419	0.300	 mh
72	BO139	107.844	108.564	0.720	 e:h=m:h
73	BO139	108.919	109.849	0.930	 niente tipo
74	BO139	110.189	112.489	2.300	 ho schiacciato si vede tipo due volte velocemente
75	BO139	112.884	116.784	3.900	 >alla fine< dell' incontro avevo tipo registrato xxx tipo due secondi {ride}
