tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	BOR006	1.324	2.099	0.775	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	eccoci qua	eccoci qua	eccoci qua
1	BOR006	3.043	3.834	0.791	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	allora::	allora::	allora
2	BOR006	4.116	7.738	3.622	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	11	e::h la prima domanda è in che zona: di bologna: vivi?	e::h la prima domanda è in che zona: di bologna: vivi?	eh la prima domanda è in che zona di bologna vivi
3	BOR006	7.825	8.492	0.667	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	ade:sso	ade:sso	adesso
4	BOI049	8.923	10.919	1.996	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	a adesso abito::	a adesso abito::	a adesso abito
5	BOI049	11.511	15.523	4.012	True	0	0	0	1	0	0	False	False	False	False	False		0	0	0	8	in @nomeluogo e che: è: nel quartiere: navile	in nomeluogo e che: è: nel quartiere: navile	in nomeluogo e che è nel quartiere navile
6	BOR006	16.214	16.579	0.365	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	mhmh	mhmh	mhmh
7	BOR006	17.399	18.624	1.225	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	e: hai sempre vissuto qui?	e: hai sempre vissuto qui?	e hai sempre vissuto qui
8	BOI049	19.233	19.517	0.284	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	no	no	no
9	BOI049	19.68	22.384	2.704	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	6	prima: ho vissuto in via malvasia	prima: ho vissuto in via malvasia	prima ho vissuto in via malvasia
10	BOI049	22.417	24.466	2.049	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	4	che è vicino all'ospeda:le maggio:re	che è vicino all'ospeda:le maggio:re	che è vicino all'ospeda:le maggiore
11	BOI049	26.534	28.231	1.697	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	e:::h m:::h	e:::h m:::h	eh mh
12	BOI049	29.078	31.32	2.242	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	mi trovavo:: be:ne:	mi trovavo:: be:ne:	mi trovavo bene
13	BOI049	32.468	34.744	2.276	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	una: bella zo:na °insomma sì°	una: bella zo:na °insomma sì°	una bella zona insomma sì
14	BOR006	34.744	35.804	1.06	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	una zona tranqui:lla	una zona tranqui:lla	una zona tranquilla
15	BOI049	36.244	36.867	0.623	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	sì sì	sì sì	sì sì
16	BOI049	37.232	38.132	0.9	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	°tranquilla°	°tranquilla°	tranquilla
17	BOR006	38.247	38.644	0.397	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	m:h	m:h	mh
18	BOI049	39.101	43.106	4.005	True	0	0	0	0	0	0	False	False	False	False	True	19=0.907	0	0	0	9	poi dieci anni fa:: circa mi sono trasferito: m:h	poi dieci anni fa:: circa mi sono trasferito: m:h	poi dieci anni fa circa mi sono trasferito mh
19	BOR006	39.364	40.271	0.907	True	0	0	0	0	0	0	False	False	False	False	True	18=0.907	0	1	0	0	((tossisce))	{tossisce}	{tossisce}
20	BOI049	44.052	44.358	0.306	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	qui	qui	qui
21	BOR006	45.424	46.085	0.661	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	mh okay	mh okay	mh okay
22	BOR006	47.043	50.677	3.634	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	8	e: hai frequentato:: le scuole? in via malvasia	e: hai frequentato:: le scuole? in via malvasia	e hai frequentato le scuole in via malvasia
23	BOI049	51.305	55.455	4.15	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	10	allora e: le: elementari:: le ho fatte alle:: de amicis	allora e: le: elementari:: le ho fatte alle:: de amicis	allora e le elementari le ho fatte alle de amicis
24	BOI049	56.482	57.801	1.319	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	che è vicino sì	che è vicino sì	che è vicino sì
25	BOI049	58.286	60.259	1.973	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	che sono: m:h sono vicino	che sono: m:h sono vicino	che sono mh sono vicino
26	BOI049	61.614	66.09	4.476	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	8	e: le me:die invece: alle: rosa luxemburg e:	e: le me:die invece: alle: rosa luxemburg e:	e le medie invece alle rosa luxemburg e
27	BOI049	66.722	67.96	1.238	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	6	e:h che è vicino alla s~	e:h che è vicino alla s~	eh che è vicino alla s~
28	BOI049	68.163	69.851	1.688	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	e:ra vicino alla stazio:ne	e:ra vicino alla stazio:ne	era vicino alla stazione
29	BOR006	69.851	70.059	0.208	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	mh	mh	mh
30	BOI049	70.059	70.879	0.82	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	adesso::	adesso::	adesso
31	BOI049	71.578	72.6	1.022	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	le hanno spostate	le hanno spostate	le hanno spostate
32	BOR006	73.178	76.28	3.102	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	10	ah ah sì: le hanno trasferi[ta:] in un altra zona	ah ah sì: le hanno trasferi[ta:] in un altra zona	ah ah sì le hanno trasferita in un altra zona
33	BOI049	74.588	75.026	0.438	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	[sì]	[sì]	sì
34	BOR006	77.106	78.77	1.664	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	8	e qiundi prima era una delle scuole me:die	e qiundi prima era una delle scuole me:die	e qiundi prima era una delle scuole medie
35	BOR006	79.122	80.601	1.479	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	le: le rosa luxemburg	le: le rosa luxemburg	le le rosa luxemburg
36	BOI049	80.955	81.278	0.323	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	sì	sì	sì
37	BOR006	81.77	82.424	0.654	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	che ade[sso]	che ade[sso]	che adesso
38	BOI049	82.038	82.337	0.299	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	[no]	[no]	no
39	BOI049	82.549	84.48	1.931	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	rosa luxemburg, le superio:ri	rosa luxemburg, le superio:ri	rosa luxemburg le superiori
40	BOR006	84.622	85.227	0.605	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	okay	okay	okay
41	BOI049	85.272	87.392	2.12	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	e:: le scuole medie:: m:h	e:: le scuole medie:: m:h	e le scuole medie mh
42	BOI049	88.287	89.498	1.211	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	°dove le ho fatte:?°	°dove le ho fatte:?°	dove le ho fatte
43	BOI049	91.493	92.14	0.647	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	(°dove le ho f~°)	(°dove le ho f~°)	dove le ho f~
44	BOI049	92.303	92.985	0.682	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	non mi rico:rdo	non mi rico:rdo	non mi ricordo
