tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	BO102	0.06	2.59	2.53	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	credevo fosse il vostro esaminatore invece è il mio.	credevo fosse il vostro esaminatore invece è il mio.	credevo fosse il vostro esaminatore invece è il mio
1	BO102	3.05	3.67	0.62	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	arrivederci.	arrivederci.	arrivederci
2	BO102	4.51	8.28	3.77	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	verremo registrati per capire che utilizzo facciamo della lingua italiana.	verremo registrati per capire che utilizzo facciamo della lingua italiana.	verremo registrati per capire che utilizzo facciamo della lingua italiana
3	BO102	8.81	11.71	2.9	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	quindi: ci saran degli esiti catastrofici no?	quindi: ci saran degli esiti catastrofici no?	quindi ci saran degli esiti catastrofici no
4	BO102	11.8	20.27	8.47	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	19	nei prossimi, (.) nei prossimi anni e giorni. è qua. ma noi non ci saremo, come diceva il grandissimo i~	nei prossimi, {P} nei prossimi anni e giorni. è qua. ma noi non ci saremo, come diceva il grandissimo i~	nei prossimi {P} nei prossimi anni e giorni è qua ma noi non ci saremo come diceva il grandissimo i~
5	BO102	21.695	22.755	1.06	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	nomadi mi pare.	nomadi mi pare.	nomadi mi pare
6	BO102	24.365	26.03	1.665	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	guccini francesco	guccini francesco	guccini francesco
7	BO102	26.965	27.625	0.66	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	bene.	bene.	bene
8	BO102	28.225	32.47	4.245	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	è molto freddo, i motorini non partono, la gente ritarda, quindi	è molto freddo, i motorini non partono, la gente ritarda, quindi	è molto freddo i motorini non partono la gente ritarda quindi
9	BO102	35.447	40.44	4.993	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	con tranquillitá, ci accingiamo. alle nostre lezioni.	con tranquillitá, ci accingiamo. alle nostre lezioni.	con tranquillitá ci accingiamo alle nostre lezioni
10	BO102	41.053	43.663	2.61	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	ci sono delle domande:	ci sono delle domande:	ci sono delle domande
11	BO102	45.968	50.09	4.122	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	sulle, su ció che abbiamo detto, la volta scorta scorsa?	sulle, su ció che abbiamo detto, la volta scorta scorsa?	sulle su ció che abbiamo detto la volta scorta scorsa
12	BO102	51.463	56.673	5.21	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	rossi, bianchi, queste persone=e:h han fatto quattro assenze,	rossi, bianchi, queste persone=e:h han fatto quattro assenze,	rossi bianchi queste persone eh han fatto quattro assenze
13	BO102	57.348	59.108	1.76	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	se non vengono, non vengono.	se non vengono, non vengono.	se non vengono non vengono
